PHY_MODE	REF_SEL	REFCLK (MHz)	PLL_REG_SEL[2:0]	PLL_RATE_SEL[3:0]	PLL Rate (GHz)	FBDIV[9:0]	FBDIV_CAL[9:0]	REFDIV[3:0]	VIND_BAND_SEL	DIV_1G[9:0]	DIV_1G_FBCK[9:0]	PLL_ICP[4:0]	PLL_LPFR[1:0]	PLL_LPFC[1:0]	INIT_TXFOFFS[12:0]	SPEED_THRESH[11:0]	LCCAP_USB	SSC_ACC_FACTOR	SSC_STEP_125PPM[3:0]	SSC_M[12:0]
SERDES	3	50	3	2	12.1875	07A	018	2	0	031	00C	0D	1	1	0220	7EF	0	0	3	0BCD
SERDES	4	62.5	3	2	12.1875	031	018	1	0	031	00C	0D	0	1	0A80	800	0	0	3	0BCD
SERDES	5	100	3	2	12.1875	03D	018	2	0	031	00C	0A	1	1	0220	7EF	0	0	3	0BCD
SERDES	6	125	3	2	12.1875	031	018	2	0	031	00C	0D	0	1	0A80	7EF	0	0	3	0BCD
SERDES	7	156.25	3	2	12.1875	027	018	2	0	031	00C	0C	0	1	0000	7F9	0	0	3	0BCD
SERDES	0	25	0	1	10.3125	067	015	1	0	029	00A	0F	1	1	1D80	7AC	0	0	3	09FB
SERDES	1	30	0	1	10.3125	0AC	015	2	0	029	00A	0C	2	1	0180	7AC	0	0	3	09FB
SERDES	2	40	0	1	10.3125	0C1	015	3	0	029	00A	0D	2	1	1C30	7AC	0	0	3	09FB
SERDES	3	50	0	1	10.3125	067	015	2	0	029	00A	0E	1	1	1D80	7AC	0	0	3	09FB
SERDES	4	62.5	0	1	10.3125	0A5	015	4	0	029	00A	0C	2	1	0000	7BC	0	0	3	09FB
SERDES	5	100	0	1	10.3125	067	015	4	0	029	00A	0E	1	1	1D80	7AC	0	0	3	09FB
SERDES	6	125	0	1	10.3125	03E	015	3	0	029	00A	0F	0	1	0420	7AC	0	0	3	09FB
SERDES	7	156.25	0	1	10.3125	021	015	2	0	029	00A	0C	0	1	0000	7B6	0	0	3	09FB
SERDES	0	25	0	0	10	064	014	1	0	028	00A	0F	1	1	0000	7D0	0	0	3	09AF
SERDES	1	30	0	0	10	053	014	1	0	028	00A	0F	1	1	17D0	7D0	0	0	3	09AF
SERDES	2	40	0	0	10	07D	014	2	0	028	00A	0F	1	1	0000	7D0	0	0	3	09AF
SERDES	3	50	0	0	10	064	014	2	0	028	00A	0F	1	1	0000	7D0	0	0	3	09AF
SERDES	4	62.5	0	0	10	078	014	3	0	028	00A	0F	1	1	0000	7E0	0	0	3	09AF
SERDES	5	100	0	0	10	04B	014	3	0	028	00A	0F	1	1	0000	7D0	0	0	3	09AF
SERDES	6	125	0	0	10	03C	014	3	0	028	00A	0E	1	1	0000	7D0	0	0	3	09AF
SERDES	7	156.25	0	0	10	020	014	2	0	028	00A	0C	0	1	0000	7DA	0	0	3	09AF
