PHY_MODE	REF_SEL	REFCLK (MHz)	PLL_REG_SEL[2:0]	PLL_RATE_SEL[3:0]	PLL Rate (GHz)	FBDIV[9:0]	FBDIV_CAL[9:0]	REFDIV[3:0]	VIND_BAND_SEL	DIV_1G[9:0]	DIV_1G_FBCK[9:0]	ICP_LC[4:0]	PLL_LPFR[1:0]	PLL_LPFC[1:0]	INTPI_LCPLL[3:0]	TX_INTPR[1:0]	INIT_TXFOFFS[9:0]	SPEED_THRESH[11:0]	LCCAP_USB	SSC_ACC_FACTOR	SSC_STEP_125PPM[3:0]	SSC_M[12:0]
SERDES	0	25	0	0	10	064	014	1	0	028	00A	0F	1	1	4	2	000	7D0	0	0	3	09AF
SERDES	1	30	0	0	10	053	014	1	0	028	00A	0F	1	1	4	2	37D	7D0	0	0	3	09AF
SERDES	2	40	0	0	10	07D	014	2	0	028	00A	0F	1	1	4	2	000	7D0	0	0	3	09AF
SERDES	3	50	0	0	10	064	014	2	0	028	00A	0F	1	1	4	2	000	7D0	0	0	3	09AF
SERDES	4	62.5	0	0	10	078	014	3	0	028	00A	0F	1	1	4	2	000	7E0	0	0	3	09AF
SERDES	5	100	0	0	10	04B	014	3	0	028	00A	0F	1	1	4	2	000	7D0	0	0	3	09AF
SERDES	6	125	0	0	10	03C	014	3	0	028	00A	0E	1	1	4	2	000	7D0	0	0	3	09AF
SERDES	7	156.25	0	0	10	020	014	2	0	028	00A	0C	3	0	4	2	000	7DA	0	0	3	09AF
SAS	0	25	2	1	12	078	018	1	0	030	00C	0F	1	1	6	2	000	7D0	0	0	3	0B9F
SAS	1	30	2	1	12	064	018	1	0	030	00C	0F	1	1	6	2	000	7D0	0	0	3	0B9F
SAS	2	40	2	1	12	04B	018	1	0	030	00C	0D	1	1	6	2	000	7D0	0	0	3	0B9F
SAS	3	50	2	1	12	03C	018	1	0	030	00C	0C	1	1	6	2	000	7D0	0	0	3	0B9F
SAS	4	62.5	2	1	12	030	018	1	0	030	00C	0A	1	1	6	2	000	7E0	0	0	3	0B9F
SAS	5	100	2	1	12	03C	018	2	0	030	00C	0C	1	1	6	2	000	7D0	0	0	3	0B9F
SAS	6	125	2	1	12	018	018	1	0	030	00C	09	0	1	6	2	000	7D0	0	0	3	0B9F
SAS	7	156.25	2	1	12	04D	018	4	0	030	00C	0D	1	1	6	2	055	7DA	0	0	3	0B9F
SAS	0	25	1	0	11.25	071	017	1	0	02D	00B	0F	1	1	4	2	092	7A5	0	0	3	0AE5
SAS	1	30	1	0	11.25	05E	017	1	0	02D	00B	0F	1	1	4	2	057	7A5	0	0	3	0AE5
SAS	2	40	1	0	11.25	046	017	1	0	02D	00B	0D	1	1	4	2	36E	7A5	0	0	3	0AE5
SAS	3	50	1	0	11.25	038	017	1	0	02D	00B	0C	1	1	4	2	36E	7A5	0	0	3	0AE5
SAS	4	62.5	1	0	11.25	05A	017	2	0	02D	00B	0E	1	1	4	2	000	7B4	0	0	3	0AE5
